date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:18	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Dec%202022%2006:35:33%20GMT	http://c.amazon-adsystem.com/aax2/apstag.js	C:/Users/Ksenthil/Downloads/trivia/c.amazon-adsystem.com/aax2/apstag.2a.delayed	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:19	0/0	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2002%20Dec%202022%2003:19:12%20GMT	https://www.randomtriviagenerator.com/choice/	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/choice/index.html	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:19	182205/182205	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fa24fe2b94a2fc864b1ec67f32e8db32%22	https://d3div1mtym39ic.cloudfront.net/aax2/apstag.js	C:/Users/Ksenthil/Downloads/trivia/d3div1mtym39ic.cloudfront.net/aax2/apstag.js	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:19	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:19:13%20GMT	https://www.randomtriviagenerator.com/e	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/e	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:20	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:19:14%20GMT	https://www.randomtriviagenerator.com/t	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/t	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:24	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:19:18%20GMT	https://www.googletagmanager.com/robots.txt		(from https://www.randomtriviagenerator.com/)
22:19:25	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:19:19%20GMT	https://fonts.gstatic.com/robots.txt		(from https://www.randomtriviagenerator.com/)
22:19:26	1255/1255	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224e7-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/grey-screw.6e82863a2ca6f8901c97df01c85deca7.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/grey-screw.6e82863a2ca6f8901c97df01c85deca7.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:27	1214/1214	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224be-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/white-screw.5cbc6f2f5d533d264489c4c5043292d6.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/white-screw.5cbc6f2f5d533d264489c4c5043292d6.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:27	454285/454285	---MCZ	200	added ('Ok')	text/javascript		https://yandex.ru/ads/system/context.js	C:/Users/Ksenthil/Downloads/trivia/yandex.ru/ads/system/context.js	(from https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js)
22:19:27	1230/1230	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%224ce-1821ae2dfc9%22	https://www.randomtriviagenerator.com/_next/static/media/rtg-logo-small.4388348144caa4eede2f07f720fb3019.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/rtg-logo-small.4388348144caa4eede2f07f720fb3019.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:27	7441/7441	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d11-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/rtg-logo-lg.2c16a02b45113aef75a4e4675d57d6c1.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/rtg-logo-lg.2c16a02b45113aef75a4e4675d57d6c1.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:27	1994/1994	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227ca-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/rtg-logo-md.eb53f8a990dec470f553a937ce77aa36.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/rtg-logo-md.eb53f8a990dec470f553a937ce77aa36.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:28	1999/1999	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227cf-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/paper-lg.e25b0dc48a2cbb0f2485b12da4b1023b.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/paper-lg.e25b0dc48a2cbb0f2485b12da4b1023b.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:28	1859/1859	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22743-18220b68024%22	https://www.randomtriviagenerator.com/_next/static/media/paper-md.c53bd0413a6eb45ee2b519c0df6962d5.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/paper-md.c53bd0413a6eb45ee2b519c0df6962d5.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:28	7416/7416	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221cf8-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/sliders-lg.189f5f0a8d2d094af361b652a1433e79.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/sliders-lg.189f5f0a8d2d094af361b652a1433e79.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:28	3481/3481	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d99-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/sliders-md.4bde82d98fa124302feca9ec1ff93987.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/sliders-md.4bde82d98fa124302feca9ec1ff93987.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:29	7502/7502	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221d4e-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/red-panel-elements.23da6a3b4405489ab61af04da04da861.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/red-panel-elements.23da6a3b4405489ab61af04da04da861.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:29	3633/3633	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e31-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/red-panel-elements-md.24e7ff4e302562a9c09e35c202b004d9.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/red-panel-elements-md.24e7ff4e302562a9c09e35c202b004d9.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:29	23632/23632	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c50-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/blue-panel-elements.f4f1fb6e78f2ee133fed28481a68ba4f.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/blue-panel-elements.f4f1fb6e78f2ee133fed28481a68ba4f.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:29	8808/8808	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%222268-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/blue-panel-elements-md.b018ab633ddeb84b0c7367c7ac5c05a8.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/blue-panel-elements-md.b018ab633ddeb84b0c7367c7ac5c05a8.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:30	13445/13445	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223485-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/navy-panel-elements.c8218f4c1d58e7aa631ee393ab9dc94c.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/navy-panel-elements.c8218f4c1d58e7aa631ee393ab9dc94c.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:30	3075/3075	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c03-1821aaf21fe%22	https://www.randomtriviagenerator.com/_next/static/media/navy-panel-elements-md.93b5afcaea472d9352dd9a248f765147.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/navy-panel-elements-md.93b5afcaea472d9352dd9a248f765147.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:30	6148/6148	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221804-1821aaf2202%22	https://www.randomtriviagenerator.com/_next/static/media/yellow-panel-elements.3001ee74b0373bda30d2c59861693aad.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/yellow-panel-elements.3001ee74b0373bda30d2c59861693aad.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:30	10749/10749	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2229fd-1821aaf2202%22	https://www.randomtriviagenerator.com/_next/static/media/yellow-panel-elements-md.3a9a203076860253f8f12b06fff782f3.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/yellow-panel-elements-md.3a9a203076860253f8f12b06fff782f3.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:31	5842/5842	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216d2-1821ae2dfcd%22	https://www.randomtriviagenerator.com/_next/static/media/tablet-grey-panel-elements.6355e6646f25173690b6d1d5024fdc24.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/tablet-grey-panel-elements.6355e6646f25173690b6d1d5024fdc24.svg	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:31	99252/99252	---MCZ	200	added ('OK')	font/ttf	etag:W/%22183b4-1821ae2dfcd%22	https://www.randomtriviagenerator.com/_next/static/media/MavenPro-Regular.6dfe1d1523d27edc3e27e61d11111f70.ttf	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/MavenPro-Regular.6dfe1d1523d27edc3e27e61d11111f70.ttf	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
22:19:32	99544/99544	---MCZ	200	added ('OK')	font/ttf	etag:W/%22184d8-1821ae2dfcd%22	https://www.randomtriviagenerator.com/_next/static/media/MavenPro-Bold.a66dfd3c0ff9120f14245a5a4137a4d5.ttf	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/_next/static/media/MavenPro-Bold.a66dfd3c0ff9120f14245a5a4137a4d5.ttf	(from https://www.randomtriviagenerator.com/_next/static/css/994ae67202daad09e31e.css)
